Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
261,FOZ DO RIO CLARO,0.2395,NAT,151,134,126,124,119,116,36.1645,32.092999999999996,30.177,29.698,28.5005,27.782,Paranaíba,Sudeste
262,GUILMAN,1.0066,NAT,38,34,30,30,29,29,38.2508,34.224399999999996,30.197999999999997,30.197999999999997,29.191399999999998,29.191399999999998,Doce,Sudeste
263,PORTO ESTRELA,0.4593,NAT,70,63,60,59,57,55,32.150999999999996,28.9359,27.558,27.0987,26.1801,25.261499999999998,Doce,Sudeste
265,,,,,,,,,,,,,,,,Doce,Sudeste
266,,,NAT,7383,7682,9326,9105,7437,7133,,,,,,,Baixo Paraná,Sudeste
267,,,,,,,,,,,,,,,,Doce,Sudeste
269,BALBINA,0.208,NAT,1102,1181,1278,1335,1399,1387,229.21599999999998,245.648,265.824,277.68,290.99199999999996,288.496,Amazonas (N),Norte
270,SERRA DA MESA,1.0404,NAT,467,388,350,357,329,309,485.8668,403.6752,364.14,371.4228,342.2916,321.4836,Tocantins (SE),Sudeste
271,ESTREITO TOC,0.211,NAT,3882,2723,2373,2194,2025,1882,819.102,574.553,500.703,462.93399999999997,427.275,397.102,Tocantins (N),Norte
273,LAJEADO,0.3315,NAT,1756,1308,1120,1002,916,847,582.114,433.60200000000003,371.28000000000003,332.163,303.654,280.7805,Tocantins (SE),Sudeste
274,,,,,,,,,,,,,,,,Tocantins (N),Norte
275,TUCURUI,0.5496,NAT,21020,16244,13515,10736,8293,6697,11552.591999999999,8927.7024,7427.844,5900.5055999999995,4557.8328,3680.6711999999998,Tocantins (N),Norte
276,,,,,,,,,,,,,,,,Tocantins (N),Norte
277,CURUA-UNA,0.1679,NAT,393,351,349,326,295,269,65.9847,58.9329,58.5971,54.7354,49.530499999999996,45.165099999999995,Amazonas (N),Norte
278,MANSO,0.508,NAT,124,101,93,84,80,77,62.992000000000004,51.308,47.244,42.672,40.64,39.116,Paraguai,Sudeste
279,SAMUEL,0.2762,NAT,862,585,477,360,288,278,238.0844,161.577,131.7474,99.432,79.54560000000001,76.7836,Amazonas (SE),Sudeste
280,COARACY NUNES,0.1795,NAT,2912,2504,2834,2876,2892,2900,522.704,449.46799999999996,508.703,516.242,519.114,520.55,Araguari,Norte
281,P.PEDRA,2.2106,NAT,74,68,64,63,62,61,163.5844,150.3208,141.4784,139.2678,137.0572,134.8466,Paraguai,Sudeste
282,,,,,,,,,,,,,,,,Alto Paraná,Sudeste
283,SANTA CLARA - MG,0.4495,NAT,45,43,43,42,41,40,20.2275,19.328500000000002,19.328500000000002,18.879,18.4295,17.98,Mucuri,Sudeste
284,14 DE JULHO,0.3016,NAT,54,284,108,77,78,139,16.2864,85.6544,32.5728,23.2232,23.5248,41.922399999999996,Jacuí,Sul
